AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251003_LGI2 KD_Plate 2_D27N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,444.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
    Number of Spikes per Network Burst per Channel - Avg,42.787879,29.180291,36.020992, , , ,47.279762,26.491429,62.085972, , , ,32.945595,70.022222,58.200062, , , ,44.155556,44.835611,40.742051, , , 
    Number of Spikes per Network Burst per Channel - Std,3.595036,5.562149,1.851446, , , ,8.960921,3.234503,1.862236, , , ,22.121341,3.297603,2.935728, , , ,3.404730,2.072166,4.754928, , , 
    Network Burst Percentage,75.742946,90.476951,94.251250, , , ,81.632849,92.279618,95.962435, , , ,74.907063,95.545972,96.155742, , , ,76.152151,88.621344,94.761286, , , 
    Network IBI Coefficient of Variation,0.070185,0.053673,0.039052, , , ,0.092666,0.067445,0.031888, , , ,0.643220,0.059748,0.038935, , , ,0.091057,0.082685,0.110036, , , 
    Network Normalized Duration IQR,0.270695,0.194114,0.142252, , , ,0.151803,0.146029,0.216582, , , ,0.587562,0.156573,0.165253, , , ,0.166924,0.155487,1.229108, , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.215536,0.272548,0.243688,0.000000,0.000000,0.000000,0.239255,0.315330,0.444973,0.000000,0.000000,0.000000,0.249008,0.395989,0.374295,0.000000,0.000000,0.000000,0.260348,0.248091,0.265339,0.000000,0.000000,0.022272
    Area Under Cross-Correlation,1.630086,2.272391,3.519970,0.000000,0.000000,0.000000,2.051764,2.081344,12.851858,0.000000,0.000000,0.000000,2.116779,12.275300,9.923123,0.000000,0.000000,0.000000,1.804148,3.811937,3.698367,0.000000,0.000000,0.000019
    Full Width at Half Height of Normalized Cross-Correlation,90.000000,81.000000,76.000000, , , ,80.000000,68.000000,46.000000, , , ,87.000000,65.000000,62.000000, , , ,81.000000,66.000000,75.000000, , ,1.000000
    Full Width at Half Height of Cross-Correlation,315.000000,255.000000,310.000000, , , ,369.000000,182.000000,248.000000, , , ,359.000000,441.000000,253.000000, , , ,292.000000,286.000000,282.000000, , ,1.000000
    Synchrony Index, , , , , , , , , , , , , , , , , , , , , , , , 
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,42.000000,11.000000,11.000000, , , ,11.000000,42.000000,12.000000, , , ,21.000000,22.000000,42.000000, , , ,13.000000,12.000000,34.000000, , , 
    Percent Bursts with Start Electrode,27.272727,26.923077,30.000000, , , ,25.000000,20.000000,20.000000, , , ,22.222222,14.814815,31.034483, , , ,16.666667,21.739130,25.806452, , , 
    Burst Peak (Max Spikes per sec),1181.818182,846.153846,1033.333333, , , ,750.000000,1120.000000,1466.666667, , , ,388.888889,1925.925926,1482.758621, , , ,500.000000,1173.913043,774.193548, , , 
    Time to Burst Peak (ms),282.500000,342.500000,414.500000, , , ,162.500000,150.500000,216.500000, , , ,113.500000,312.500000,162.500000, , , ,273.500000,414.500000,468.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),27.765248,27.353787,27.721916, , , ,26.703295,26.867858,30.541019, , , ,27.701515,31.776209,29.282439, , , ,27.371703,27.926252,28.414266, , , 
    Resistance - Std (kOhms),4.149205,3.366271,3.737600, , , ,4.012856,5.154002,4.621656, , , ,3.321973,3.379218,3.916817, , , ,2.330885,4.265589,3.104135, , , 
    Number of Covered Electrodes,15.000000,15.000000,15.000000, , , ,15.000000,14.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , 
    Weighted Mean Resistance (kOhms),27.765248,27.353787,27.721916, , , ,26.703295,27.507962,30.541019, , , ,27.701515,31.776209,29.282439, , , ,27.371703,27.926252,28.414266, , , 

